Date,flow
2016-01-01 00:00,12.933
2016-01-02 00:00,12.74
2016-01-03 00:00,12.725
2016-01-04 00:00,12.951
2016-01-05 00:00,13.568
2016-01-06 00:00,13.835
2016-01-07 00:00,14.196
2016-01-08 00:00,13.98
2016-01-09 00:00,13.806
2016-01-10 00:00,13.943
2016-01-11 00:00,13.837
2016-01-12 00:00,14.182
2016-01-13 00:00,13.902
2016-01-14 00:00,13.525
2016-01-15 00:00,13.066
2016-01-16 00:00,12.672
2016-01-17 00:00,12.305
2016-01-18 00:00,12.012
2016-01-19 00:00,11.688
2016-01-20 00:00,11.387
2016-01-21 00:00,11.131
2016-01-22 00:00,11.589
2016-01-23 00:00,11.489
2016-01-24 00:00,11.532
2016-01-25 00:00,11.382
2016-01-26 00:00,11.878
2016-01-27 00:00,12.411
2016-01-28 00:00,12.376
2016-01-29 00:00,12.89
2016-01-30 00:00,12.919
2016-01-31 00:00,12.742
2016-02-01 00:00,13.656
2016-02-02 00:00,13.929
2016-02-03 00:00,13.538
2016-02-04 00:00,13.217
2016-02-05 00:00,12.929
2016-02-06 00:00,12.671
2016-02-07 00:00,12.815
2016-02-08 00:00,12.918
2016-02-09 00:00,12.737
2016-02-10 00:00,12.412
2016-02-11 00:00,12.025
2016-02-12 00:00,11.754
2016-02-13 00:00,11.684
2016-02-14 00:00,11.444
2016-02-15 00:00,10.996
2016-02-16 00:00,10.923
2016-02-17 00:00,11.152
2016-02-18 00:00,7.821
2016-02-19 00:00,8.235
2016-02-20 00:00,8.225
2016-02-21 00:00,8.159
2016-02-22 00:00,8.058
2016-02-23 00:00,7.926
2016-02-24 00:00,7.765
2016-02-25 00:00,4.6
2016-02-26 00:00,4.404
2016-02-27 00:00,4.358
2016-02-28 00:00,4.312
2016-02-29 00:00,4.535
2016-03-01 00:00,4.669
2016-03-02 00:00,4.665
2016-03-03 00:00,4.633
2016-03-04 00:00,4.61
2016-03-05 00:00,4.555
2016-03-06 00:00,4.505
2016-03-07 00:00,4.455
2016-03-08 00:00,4.4
2016-03-09 00:00,4.372
2016-03-10 00:00,4.323
2016-03-11 00:00,4.281
2016-03-12 00:00,4.232
2016-03-13 00:00,4.19
2016-03-14 00:00,1.906
2016-03-15 00:00,1.803
2016-03-16 00:00,1.799
2016-03-17 00:00,1.909
2016-03-18 00:00,1.973
2016-03-19 00:00,2.031
2016-03-20 00:00,2.091
2016-03-21 00:00,1.596
2016-03-22 00:00,1.6
2016-03-23 00:00,1.606
2016-03-24 00:00,1.606
2016-03-25 00:00,1.598
2016-03-26 00:00,1.617
2016-03-27 00:00,1.626
2016-03-28 00:00,1.63
2016-03-29 00:00,1.625
2016-03-30 00:00,1.63
2016-03-31 00:00,1.628
2016-04-01 00:00,1.634
2016-04-02 00:00,1.654
2016-04-03 00:00,1.671
2016-04-04 00:00,1.7
2016-04-05 00:00,1.76
2016-04-06 00:00,2.32
2016-04-07 00:00,2.327
2016-04-08 00:00,2.343
2016-04-09 00:00,2.34
2016-04-10 00:00,2.327
2016-04-11 00:00,3.669
2016-04-12 00:00,3.675
2016-04-13 00:00,3.676
2016-04-14 00:00,3.609
2016-04-15 00:00,3.579
2016-04-16 00:00,3.555
2016-04-17 00:00,3.462
2016-04-18 00:00,2.189
2016-04-19 00:00,2.178
2016-04-20 00:00,2.189
2016-04-21 00:00,2.196
2016-04-22 00:00,2.185
2016-04-23 00:00,2.176
2016-04-24 00:00,2.158
2016-04-25 00:00,1.802
2016-04-26 00:00,1.781
2016-04-27 00:00,1.413
2016-04-28 00:00,1.377
2016-04-29 00:00,1.369
2016-04-30 00:00,1.376
2016-05-01 00:00,1.391
2016-05-02 00:00,1.404
2016-05-03 00:00,1.396
2016-05-04 00:00,1.398
2016-05-05 00:00,1.411
2016-05-06 00:00,1.412
2016-05-07 00:00,1.414
2016-05-08 00:00,1.415
2016-05-09 00:00,1.421
2016-05-10 00:00,1.429
2016-05-11 00:00,1.418
2016-05-12 00:00,1.413
2016-05-13 00:00,1.408
2016-05-14 00:00,1.406
2016-05-15 00:00,1.409
2016-05-16 00:00,1.405
2016-05-17 00:00,1.409
2016-05-18 00:00,2.014
2016-05-19 00:00,2.239
2016-05-20 00:00,2.237
2016-05-21 00:00,2.23
2016-05-22 00:00,1.383
2016-05-23 00:00,1.374
2016-05-24 00:00,1.369
2016-05-25 00:00,1.366
2016-05-26 00:00,1.362
2016-05-27 00:00,1.357
2016-05-28 00:00,1.353
2016-05-29 00:00,1.348
2016-05-30 00:00,1.342
2016-05-31 00:00,1.342
2016-06-01 00:00,1.34
2016-06-02 00:00,1.334
2016-06-03 00:00,1.337
2016-06-04 00:00,1.339
2016-06-05 00:00,1.333
2016-06-06 00:00,1.333
2016-06-07 00:00,1.347
2016-06-08 00:00,1.343
2016-06-09 00:00,1.343
2016-06-10 00:00,1.343
2016-06-11 00:00,1.335
2016-06-12 00:00,1.341
2016-06-13 00:00,1.18
2016-06-14 00:00,1.189
2016-06-15 00:00,1.221
2016-06-16 00:00,1.509
2016-06-17 00:00,1.484
2016-06-18 00:00,1.468
2016-06-19 00:00,1.477
2016-06-20 00:00,1.496
2016-06-21 00:00,1.501
2016-06-22 00:00,1.499
2016-06-23 00:00,1.523
2016-06-24 00:00,1.551
2016-06-25 00:00,1.567
2016-06-26 00:00,1.571
2016-06-27 00:00,2.308
2016-06-28 00:00,2.276
2016-06-29 00:00,2.26
2016-06-30 00:00,2.251
2016-07-01 00:00,1.565
2016-07-02 00:00,1.441
2016-07-03 00:00,1.435
2016-07-04 00:00,1.434
2016-07-05 00:00,1.435
2016-07-06 00:00,1.426
2016-07-07 00:00,1.431
2016-07-08 00:00,1.427
2016-07-09 00:00,1.429
2016-07-10 00:00,1.502
2016-07-11 00:00,2.513
2016-07-12 00:00,2.498
2016-07-13 00:00,2.498
2016-07-14 00:00,2.508
2016-07-15 00:00,2.528
2016-07-16 00:00,2.503
2016-07-17 00:00,2.483
2016-07-18 00:00,2.474
2016-07-19 00:00,2.462
2016-07-20 00:00,2.448
2016-07-21 00:00,2.396
2016-07-22 00:00,2.398
2016-07-23 00:00,2.391
2016-07-24 00:00,2.412
2016-07-25 00:00,3.405
2016-07-26 00:00,3.418
2016-07-27 00:00,3.388
2016-07-28 00:00,3.366
2016-07-29 00:00,2.525
2016-07-30 00:00,2.41
2016-07-31 00:00,2.409
2016-08-01 00:00,2.413
2016-08-02 00:00,2.415
2016-08-03 00:00,2.456
2016-08-04 00:00,2.462
2016-08-05 00:00,2.459
2016-08-06 00:00,2.466
2016-08-07 00:00,2.46
2016-08-08 00:00,2.451
2016-08-09 00:00,2.419
2016-08-10 00:00,2.422
2016-08-11 00:00,2.423
2016-08-12 00:00,2.403
2016-08-13 00:00,2.396
2016-08-14 00:00,2.379
2016-08-15 00:00,2.365
2016-08-16 00:00,2.357
2016-08-17 00:00,2.007
2016-08-18 00:00,1.986
2016-08-19 00:00,2.253
2016-08-20 00:00,2.24
2016-08-21 00:00,2.221
2016-08-22 00:00,2.197
2016-08-23 00:00,2.179
2016-08-24 00:00,2.171
2016-08-25 00:00,2.141
2016-08-26 00:00,1.525
2016-08-27 00:00,1.515
2016-08-28 00:00,1.498
2016-08-29 00:00,1.493
2016-08-30 00:00,1.484
2016-08-31 00:00,1.459
2016-09-01 00:00,1.457
2016-09-02 00:00,1.457
2016-09-03 00:00,1.46
2016-09-04 00:00,1.449
2016-09-05 00:00,1.44
2016-09-06 00:00,1.849
2016-09-07 00:00,1.203
2016-09-08 00:00,2.198
2016-09-09 00:00,2.26
2016-09-10 00:00,2.4
2016-09-11 00:00,2.39
2016-09-12 00:00,2.433
2016-09-13 00:00,4.54
2016-09-14 00:00,2.356
2016-09-15 00:00,2.099
2016-09-16 00:00,2.074
2016-09-17 00:00,2.057
2016-09-18 00:00,2.059
2016-09-19 00:00,2.617
2016-09-20 00:00,2.581
2016-09-21 00:00,2.568
2016-09-22 00:00,1.548
2016-09-23 00:00,1.355
2016-09-24 00:00,1.362
2016-09-25 00:00,1.345
2016-09-26 00:00,1.346
2016-09-27 00:00,1.378
2016-09-28 00:00,1.391
2016-09-29 00:00,1.693
2016-09-30 00:00,1.707
2016-10-01 00:00,1.704
2016-10-02 00:00,1.69
2016-10-03 00:00,1.716
2016-10-04 00:00,2.178
2016-10-05 00:00,2.156
2016-10-06 00:00,2.139
2016-10-07 00:00,2.119
2016-10-08 00:00,2.091
2016-10-09 00:00,2.071
2016-10-10 00:00,2.046
2016-10-11 00:00,2.023
2016-10-12 00:00,2.005
2016-10-13 00:00,2.055
2016-10-14 00:00,2.501
2016-10-15 00:00,2.511
2016-10-16 00:00,2.504
2016-10-17 00:00,2.497
2016-10-18 00:00,2.503
2016-10-19 00:00,2.495
2016-10-20 00:00,2.48
2016-10-21 00:00,2.461
2016-10-22 00:00,2.457
2016-10-23 00:00,2.454
2016-10-24 00:00,2.442
2016-10-25 00:00,2.419
2016-10-26 00:00,2.417
2016-10-27 00:00,2.441
2016-10-28 00:00,2.426
2016-10-29 00:00,2.389
2016-10-30 00:00,1.796
2016-10-31 00:00,1.228
2016-11-01 00:00,1.176
2016-11-02 00:00,1.19
2016-11-03 00:00,1.188
2016-11-04 00:00,1.193
2016-11-05 00:00,1.187
2016-11-06 00:00,1.173
2016-11-07 00:00,1.168
2016-11-08 00:00,1.168
2016-11-09 00:00,1.17
2016-11-10 00:00,1.192
2016-11-11 00:00,1.107
2016-11-12 00:00,1.124
2016-11-13 00:00,2.084
2016-11-14 00:00,2.139
2016-11-15 00:00,2.147
2016-11-16 00:00,2.183
2016-11-17 00:00,4.026
2016-11-18 00:00,4.14
2016-11-19 00:00,4.096
2016-11-20 00:00,4.008
2016-11-21 00:00,3.934
2016-11-22 00:00,3.906
2016-11-23 00:00,3.823
2016-11-24 00:00,3.742
2016-11-25 00:00,3.956
2016-11-26 00:00,3.872
2016-11-27 00:00,3.763
2016-11-28 00:00,1.692
2016-11-29 00:00,1.655
2016-11-30 00:00,1.667
2016-12-01 00:00,1.65
2016-12-02 00:00,1.478
2016-12-03 00:00,1.468
2016-12-04 00:00,1.455
2016-12-05 00:00,1.447
2016-12-06 00:00,1.449
2016-12-07 00:00,1.465
2016-12-08 00:00,1.455
2016-12-09 00:00,1.456
2016-12-10 00:00,1.457
2016-12-11 00:00,1.457
2016-12-12 00:00,1.454
2016-12-13 00:00,1.456
2016-12-14 00:00,1.456
2016-12-15 00:00,1.024
2016-12-16 00:00,1.026
2016-12-17 00:00,1.039
2016-12-18 00:00,1.067
2016-12-19 00:00,1.452
2016-12-20 00:00,1.456
2016-12-21 00:00,1.477
2016-12-22 00:00,2.641
2016-12-23 00:00,3.956
2016-12-24 00:00,4.501
2016-12-25 00:00,4.951
2016-12-26 00:00,4.576
2016-12-27 00:00,4.494
2016-12-28 00:00,4.503
2016-12-29 00:00,4.46
2016-12-30 00:00,4.399
2016-12-31 00:00,4.398

